facility_id,official_station_name,location_descriptive_name_common_name,classification,street_address,suite_building_number,city,state,zip_code,station_phone_number,station_fax_number,after_hours_phone_number,pharmacy_phone_number,enrollment_coordinator_phone_number,patient_advocate_phone_number,latitude,longitude,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,hours_note
402QA,Fort Kent VA Clinic,Fort Kent,Other Outpatient Services (OOS),197 East Main Street,,Fort Kent,ME,4743,207-623-8411 x,207-621-4844 x,888-838-6446 x,207-623-5353 x,207-623-8411 x4743,207-623-5760 x,47.26560929,-68.59126318,-,-,-,800AM-430PM,-,-,-,We are open Thursday's only. We are closed weekends and all federal holidays.
402QB,Houlton VA Clinic,Houlton,Other Outpatient Services (OOS),20 Hartford Street,,Houlton,ME,4730,207-623-8411 x,207-621-4844 x,888-838-6446 x,207-623-5353 x,207-623-8411 x4743,207-623-5760 x,46.13316871,-67.84254804,-,-,800AM-430PM,-,-,-,-,We are open on Wednesday's only. We are closed weekends and all federal holidays.
405,White River Junction VA Medical Center,White River Junction,VA Medical Center (VAMC),163 Veterans Drive,,White River Junction,VT,5001,802-295-9363 x,802-296-6354 x,802-295-9363 x,802-295-9363 x5205,802-295-9363 x6281,802-295-9363 x6293,43.64789697,-72.34237397,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
405GA,Bennington VA Clinic,Bennington,Primary Care CBOC,186 North Street,,Bennington,VT,5201,802-447-6913 x,802-442-2137 x,802-295-9363 x,802-295-9363 x5205,802-295-9363 x6281,802-295-9363 x6293,42.88436007,-73.19689005,800AM-430PM,700AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
405GC,Brattleboro VA Clinic,Brattleboro,Primary Care CBOC,71 GSP Drive,,Brattleboro,VT,5301,802-251-2200 x,802-251-2277 x,802-295-9363 x,802-295-9363 x5205,802-295-9363 x6281,802-295-9363 x6293,42.83027144,-72.56765211,800AM-430PM,1030AM-700PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
405HA,Burlington Lakeside VA Clinic,Burlington Lakeside,Multi-Specialty CBOC,128 Lakeside Avenue,Suite 260,Burlington,VT,5401,802-657-7000 x,802-657-7077 x,802-295-9363 x,802-295-9363 x5205,802-295-9363 x6281,802-295-9363 x6293,44.46128683,-73.21765064,800AM-430PM,800AM-430PM,800AM-730PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
405HC,Littleton VA Clinic,Littleton,Primary Care CBOC,685 Meadow Street,Suite 4,Littleton,NH,3561,603-444-1323 x,603-444-1324 x,802-295-9363 x,802-295-9363 x5205,802-295-9363 x6281,802-295-9363 x6293,44.30273173,-71.8041859,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
405HE,Keene VA Clinic,Keene,Other Outpatient Services (OOS),640 Marlboro Street,Route 101,Keene,NH,3431,603-358-4900 x,603-358-4977 x,866-687-8387 x,866-687-8387 x5205,866-687-8387 x6281,866-687-8387 x6293,42.91645006,-72.25667404,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
405HF,Rutland VA Clinic,Rutland,Primary Care CBOC,232 West Street,,Rutland,VT,5701,802-772-2300 x,802-772-2377 x,802-295-9363 x,802-295-9363 x5205,802-295-9363 x6281,802-295-9363 x6293,43.60703013,-72.98587109,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,700AM-430PM,-,-,We are closed weekends and all federal holidays.
405QA,St. Johnsbury VA Clinic,St. Johnsbury,Other Outpatient Services (OOS),141 Railroad Street,,St. Johnsbury,VT,5819,603-444-1323 x,603-444-1323 x,603-444-1323 x,603-444-1323 x5205,866-687-8387 x6281,866-687-8387 x6293,44.41801012,-72.02073057,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
405QB,Newport VA Clinic,Newport,Other Outpatient Services (OOS),1734 Crawford Farm Road,,Newport,VT,5855,802-334-9700 x,803-334-9777 x,866-687-8387 x,866-687-8387 x5205,866-687-8387 x6281,866-687-8387 x6293,44.93220369,-72.18091793,-,800AM-430PM,1030AM-700PM,800AM-430PM,-,-,-,"We are closed Monday's, Friday's, weekends and all federal holidays."
518,Edith Nourse Rogers Memorial Veterans' Hospital,Bedford,VA Medical Center (VAMC),200 Springs Road,,Bedford,MA,1730,781-687-2000 x,781-687-2101 x,800-838-6331 x,800-838-6331 x2210,781-687-2369 x,781-687-2612 x,42.50350807,-71.2726484,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
518GA,Lynn VA Clinic,Lynn,Primary Care CBOC,225 Boston Street,Suite 107,Lynn,MA,1904,781-595-9818 x,781-596-2036 x,800-838-6331 x,800-838-6331 x2210,781-687-2369 x,781-687-2612 x,42.47011182,-70.9599316,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
518GB,Haverhill VA Clinic,Haverhill,Primary Care CBOC,108 Merrimack Street,,Haverhill,MA,1830,978-372-5207 x,978-372-5089 x,800-838-6331 x,800-838-6331 x2210,781-687-2369 x,781-687-2612 x,42.77446182,-71.07903496,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
518GE,Gloucester VA Clinic,Gloucester,Primary Care CBOC,298 Washington Street,,Gloucester,MA,1930,978-282-0676 x,978-282-3497 x,800-838-6331 x,800-838-6331 x2210,781-687-2369 x,781-687-2612 x,42.62533582,-70.67920902,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
523,Jamaica Plain VA Medical Center,Jamaica Plain,VA Medical Center (VAMC),150 South Huntington Avenue,,Boston,MA,2130,617-232-9500 x,857-364-4549 x,800-856-3384 x,857-364-4419 x,857-364-4849 x,774-826-2415 x,42.3277062,-71.11081754,24/7,24/7,24/7,24/7,24/7,24/7,24/7,We are closed weekends and all federal holidays.
523A4,West Roxbury VA Medical Center,West Roxbury,VA Medical Center (VAMC),1400 VFW Parkway,,West Roxbury,MA,2132,617-323-7700 x,857-203-5500 x,857-203-6864 x,857-364-4419 x,857-203-5471 x,857-203-6994 x,42.27608326,-71.17243052,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
523A5,Brockton VA Medical Center,Brockton,VA Medical Center (VAMC),940 Belmont Street,,Brockton,MA,2301,508-583-4500 x,774-826-0014 x,857-203-6864 x,857-364-4419 x,774-826-2500 x,774-826-2415 x,42.0639944,-71.05725838,730AM-600PM,730AM-600PM,730AM-600PM,730AM-600PM,730AM-600PM,-,-,We are closed weekends and all federal holidays.
523BY,Lowell VA Clinic,Lowell,Multi-Specialty CBOC,130 Marshall Road,,Lowell,MA,1852,978-671-9000 x,978-671-9149 x,857-203-6864 x,857-364-4419 x,857-364-4849 x,857-364-5295 x,42.62100591,-71.31474398,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
523BZ,Causeway VA Clinic,Causeway-Boston,Multi-Specialty CBOC,251 Causeway Street,,Boston,MA,2114,617-248-1000 x,617-248-1406 x,857-203-6864 x,857-364-4419 x,857-364-4849 x,857-364-5295 x,42.36652386,-71.05915585,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
523GA,Framingham VA Clinic,Framingham,Primary Care CBOC,61 Lincoln Street,Suite 112,Framingham,MA,1702,508-628-0205 x,508-626-8224 x,857-203-6864 x,857-364-4419 x,857-364-4849 x,857-364-5295 x,42.28305395,-71.41784474,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
523GC,Quincy VA Clinic,Quincy,Other Outpatient Services (OOS),110 West Squantam Street,,Quincy,MA,2171,617-376-2010 x,617-376-2015 x,857-203-6864 x,857-364-4419 x,857-364-4849 x,857-364-5395 x,42.272844,-71.03118919,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
523GD,Plymouth VA Clinic,Plymouth,Other Outpatient Services (OOS),116 Long Pond Road,,Plymouth,MA,2360,774-826-3732 x,508-747-8185 x,800-865-3384 x,857-364-4419 x,857-364-4849 x,774-826-2415 x,41.92427415,-70.65671448,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
523QA,Boston VA Mobile Clinic,Boston Mobile,Other Outpatient Services (OOS),150 South Huntington Avenue,,Boston,MA,2130,617-232-9500 x,857-364-4549 x,800-856-3384 x,857-364-4419 x,857-364-4849 x,774-826-2415 x,42.3277062,-71.11081754,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are open by appointment only. We are closed weekends and all federal holidays.
608,Manchester VA Medical Center,Manchester,VA Medical Center (VAMC),718 Smyth Road,,Manchester,NH,3104,603-624-4366 x,603-626-6576 x,603-624-4366 x3199,603-624-4366 x2277,603-624-4366 x6410,603-624-4366 x6491,43.01201469,-71.4392437,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Urgent Care: 24 hours a day 7 days a week.
608GA,Portsmouth VA Clinic,Portsmouth,Primary Care CBOC,302 Newmarket Street,,Portsmouth,NH,3801,603-624-4366 x3199,603-431-8862 x,603-624-4366 x3199,603-624-4366 x2277,603-624-4366 x6410,603-624-4366 x6491,43.08968845,-70.81802773,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,-,-,We are closed weekends and all federal holidays.
608GC,Somersworth VA Clinic,Somersworth,Primary Care CBOC,200 Route 108,Suite 2,Somersworth,NH,3878,603-624-4366 x3199,603-841-9038 x,603-624-4366 x3199,603-624-4366 x2277,603-624-4366 x6410,603-624-4366 x6491,43.24319735,-70.89861881,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,-,-,We are closed weekends and all federal holidays.
608GD,Conway VA Clinic,Conway,Primary Care CBOC,71 Hobbs Street,Third Floor,Conway,NH,3818,800-892-8384 x3199,603-314-1656 x,603-624-4366 x3199,603-624-4366 x2277,603-624-4366 x6410,603-624-4366 x6491,43.97451235,-71.12938351,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
608HA,Tilton VA Clinic,Tilton,Primary Care CBOC,630 West Main Street,Suite 400,Tilton,NH,3276,603-624-4366 x3199,603-314-1653 x,603-624-4366 x3199,603-624-4366 x2277,603-624-4366 x6410,603-624-4366 x6491,43.44723166,-71.61950192,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,730AM-430PM,-,-,We are closed weekends and all federal holidays.
631,Edward P. Boland Department of Veterans Affairs Medical Center,Central Western Massachusetts,VA Medical Center (VAMC),421 North Main Street,,Leeds,MA,1053,413-584-4040 x,413-582-3121 x,800-893-1522 x,800-893-1522 x,413-582-3100 x,413-582-3188 x,42.34805261,-72.68747945,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
631BY,Springfield VA Clinic,Springfield,Multi-Specialty CBOC,25 Bond Street,,Springfield,MA,1104,413-731-6000 x,413-788-5560 x,800-893-1522 x,800-893-1522 x,413-582-3100 x,413-582-3188 x,42.11006509,-72.60010316,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
631GC,Pittsfield VA Clinic,Pittsfield,Primary Care CBOC,73 Eagle Street,,Pittsfield,MA,1201,413-499-2672 x,413-447-8825 x,800-893-1522 x,800-893-1522 x,413-582-3100 x,413-582-3188 x,42.45133421,-73.25113638,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
631GD,Greenfield VA Clinic,Greenfield,Primary Care CBOC,143 Munson Street,,Greenfield,MA,1301,413-773-8428 x,413-773-8435 x,800-893-1522 x,800-893-1522 x,413-582-3100 x,413-582-3188 x,42.57625343,-72.62440426,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
631GE,Worcester VA Clinic,Worcester,Multi-Specialty CBOC,605 Lincoln Street,,Worcester,MA,1605,508-856-0104 x,508-856-7425 x,508-856-0104 x,800-893-1522 x,413-582-3091 x,413-582-3188 x,42.2976824,-71.76721181,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
631GF,Fitchburg VA Clinic,Fitchburg,Primary Care CBOC,275 Nichols Road,,Fitchburg,MA,1420,978-342-9781 x,978-342-9521 x,413-584-4040 x,800-893-1522 x,413-582-3091 x,413-582-3188 x,42.59784108,-71.80442012,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
650,Providence VA Medical Center,Providence,VA Medical Center (VAMC),830 Chalkstone Avenue,,Providence,RI,2908,401-273-7100 x,401-457-3363 x,401-273-7100 x3997,866-400-1241 x,401-273-7100 x6166,401-457-3093 x,41.83392713,-71.43482981,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
650GA,New Bedford VA Clinic,New Bedford,Primary Care CBOC,175 Elm Street,,New Bedford,MA,2740,508-994-0217 x,508-994-5489 x,401-273-7100 x3997,866-400-1241 x,401-273-7100 x6166,401-457-3093 x,41.63596753,-70.92953366,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
650GB,Hyannis VA Clinic,Hyannis,Primary Care CBOC,233 Stevens Street,,Hyannis,MA,2601,508-771-3190 x,508-771-0940 x,401-273-7100 x3997,866-400-1241 x,401-273-7100 x6166,401-457-3093 x,41.651323,-70.29405215,730AM-400PM,730AM-400PM,730AM-400PM,730AM-400PM,730AM-400PM,-,-,We are closed weekends and all federal holidays.
650GD,Middletown VA Clinic,Middletown,Primary Care CBOC,One Corporate Place,,Middletown,RI,2842,401-847-6239 x,401-847-8057 x,401-273-7100 x3997,866-400-1241 x,401-273-7100 x6166,401-457-3093 x,41.52984381,-71.29575876,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
650QA,Eagle Square VA Clinic,Eagle Square-Providence,Other Outpatient Services (OOS),623 Atwells Avenue,,Providence,RI,2909,401-273-7100 x,401-457-3370 x,401-273-7100 x,401-273-7100 x,401-273-7100 x,401-457-3093 x,41.82454128,-71.43766951,700AM-500PM,700AM-500PM,700AM-500PM,700AM-500PM,700AM-500PM,-,-,We are closed weekends and all federal holidays.
689,West Haven VA Medical Center,West Haven,VA Medical Center (VAMC),950 Campbell Avenue,,West Haven,CT,6516,203-932-5711 x,203-937-3868 x,203-932-5711 x3131,860-667-6750 x,203-932-5711 x3517,203-937-3877 x,41.284358,-72.95731302,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Urgent Care: 24 hours a day 7 days a week.
689A4,Newington VA Medical Center,Newington,VA Medical Center (VAMC),555 Willard Avenue,,Newington,CT,6111,860-666-6951 x,860-667-6764 x,203-932-5711 x3131,860-667-6750 x,203-932-5711 x4600,203-937-3877 x,41.7023486,-72.73482156,700AM-430PM,700AM-430PM,700AM-430PM,700AM-430PM,700AM-430PM,-,-,We are closed weekends and all federal holidays.
689GA,Waterbury VA Clinic,Waterbury,Primary Care CBOC,95 Scovill Street,,Waterbury,CT,6706,203-465-5292 x,203-465-5296 x,203-932-5711 x3131,860-667-6750 x,203-932-5711 x4600,203-937-3877 x,41.55357686,-73.03739642,800AM-430PM,800AM-430PM,800AM-430PM,730AM-500PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
689GB,Stamford VA Clinic,Stamford,Primary Care CBOC,1275 Summer Street,Suite 102,Stamford,CT,6905,203-325-0649 x,203-325-7213 x,203-932-5711 x3131,860-667-6750 x,203-932-5711 x4600,203-937-3877 x,41.06196855,-73.54175272,730AM-500PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
689GC,Willimantic VA Clinic,Willimantic,Primary Care CBOC,1320 Main Street,,Willimantic,CT,6226,860-450-7583 x,860-450-7585 x,203-932-5711 x3131,860-667-6750 x,203-932-5711 x4600,203-937-3877 x,41.71506932,-72.22859333,800AM-430PM,800AM-430PM,800AM-430PM,730AM-500PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
689GD,Winsted VA Clinic,Winsted,Primary Care CBOC,115 Spencer Street,,Winsted,CT,6098,860-738-6985 x,860-738-6987 x,203-932-5711 x3131,860-667-6750 x,203-932-5711 x4600,203-937-3877 x,41.93032623,-73.07573645,800AM-430PM,800AM-430PM,800AM-430PM,730AM-500PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
689GE,Danbury VA Clinic,Danbury,Primary Care CBOC,7 Germantown Road,Suite 2B,Danbury,CT,6810,203-798-8422 x,203-798-8366 x,203-932-5711 x3131,860-667-6750 x,203-932-5711 x4600,203-937-3877 x,41.40895141,-73.43625964,730AM-500PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
689HC,John J. McGuirk Department of Veterans Affairs Outpatient Clinic,New London,Primary Care CBOC,4 Shaw's Cove,"1st Floor, Suite 101",New London,CT,6320,860-701-5996 x,860-437-1801 x,203-932-5711 x3131,860-667-6750 x,203-932-5711 x4600,203-937-3877 x,41.34901671,-72.10455331,800AM-430PM,800AM-430PM,800AM-430PM,730AM-500PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
689QA,Errera VA Clinic,Errera-West Haven,Other Outpatient Services (OOS),114 Orange Avenue,,West Haven,CT,6516,203-479-8000 x,203-479-8001 x,203-932-5711 x3131,860-667-6750 x,203-932-5711 x4600,203-937-3877 x,41.29682441,-72.95466262,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
526,James J. Peters Department of Veterans Affairs Medical Center,Bronx,VA Medical Center (VAMC),130 West Kingsbridge Road,,Bronx,NY,10468,718-584-9000 x,718-579-1671 x,800-877-6976 x,718-584-9000 x5490,718-584-9000 x5646,718-584-9000 x6602,40.86908966,-73.90312889,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
526GA,White Plains VA Clinic,White Plains,Primary Care CBOC,23 South Broadway,,White Plains,NY,10601,914-421-1951 x4300,914-421-1956 x,800-877-6976 x,718-584-9000 x5490,718-584-9000 x5646,718-584-9000 x6602,41.03280396,-73.76256942,800AM-400PM,800AM-400PM,800AM-400PM,800AM-400PM,800AM-400PM,-,-,We are closed weekends and all federal holidays.
526GB,Yonkers VA Clinic,Yonkers,Primary Care CBOC,124 New Main Street,,Yonkers,NY,10701,914-375-8055 x4400,914-375-8067 x,800-877-6976 x,718-584-9000 x5490,718-584-9000 x5646,718-584-9000 x6602,40.93286929,-73.89691488,800AM-400PM,800AM-400PM,800AM-400PM,800AM-400PM,800AM-400PM,-,-,We are closed weekends and all federal holidays.
526GD,Thomas P. Noonan Jr. Department of Veterans Affairs Outpatient Clinic,Sunnyside-Queens,Other Outpatient Services (OOS),4103 Queens Boulevard,,Sunnyside,NY,11104,718-741-4800 x,718-741-4802 x,800-877-6976 x,718-584-9000 x5490,718-584-9000 x5646,718-584-9000 x6602,40.74387358,-73.9231709,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
526QA,Bronx VA Mobile Clinic,Bronx Mobile,Other Outpatient Services (OOS),130 West Kingsbridge Road,,Bronx,NY,10468,718-584-9000 x,718-579-1671 x,800-877-6976 x,718-584-9000 x5490,718-584-9000 x5646,718-584-9000 x6602,40.86908966,-73.90312889,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are open by appointment. We are closed weekends and all federal holidays.
528,Buffalo VA Medical Center,Buffalo,VA Medical Center (VAMC),3495 Bailey Avenue,,Buffalo,NY,14215,716-834-9200 x,716-862-8533 x,888-838-7890 x,716-862-6334 x,888-823-9656 x,716-862-8752 x,42.95082595,-78.81367396,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
528A4,Batavia VA Medical Center,Batavia,VA Medical Center (VAMC),222 Richmond Avenue,,Batavia,NY,14020,585-297-1000 x,585-786-1258 x,888-838-7890 x,585-297-1100 x,888-823-9656 x,585-297-1257 x,43.01065453,-78.20082603,730AM-430PM,730AM-430PM,730AM-630PM,730AM-430PM,730AM-430PM,800AM-430PM,-,We are closed Sundays and all federal holidays. Community Living Center and Domiciliary are open 24 hours a day 7 days a week.
528A5,Canandaigua VA Medical Center,Canandaigua,VA Medical Center (VAMC),400 Fort Hill Avenue,,Canandaigua,NY,14424,585-394-2000 x,585-393-8328 x,585-394-2000 x,585-393-8050 x,585-393-7348 x,585-393-7612 x,42.90078353,-77.27083972,730AM-430PM,730AM-430PM,730AM-430PM,730AM-630PM,730AM-430PM,800AM-430PM,-,We are closed Sundays and all federal holidays. Community Living Center and Domiciliary are open 24 hours a day 7 days a week.
528A6,Bath VA Medical Center,Bath,VA Medical Center (VAMC),76 Veterans Avenue,,Bath,NY,14810,607-664-4000 x,607-664-4861 x,607-664-4000 x,607-664-4413 x,607-664-4899 x,607-664-4797 x,42.34334983,-77.34772263,800AM-800PM,800AM-800PM,800AM-800PM,800AM-800PM,800AM-800PM,800AM-800PM,800AM-800PM,"Administrative hours: 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays. Urgent Care Services: 8 a.m. to 8 p.m., 7 days per week."
528A7,Syracuse VA Medical Center,Syracuse,VA Medical Center (VAMC),800 Irving Avenue,,Syracuse,NY,13210,315-425-4400 x,315-425-4375 x,315-425-4400 x53238,800-792-4334 x58000,315-425-4400 x53222,315-425-4345 x,43.03872609,-76.13820695,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
528A8,Samuel S. Stratton Department of Veterans Affairs Medical Center,Albany,VA Medical Center (VAMC),113 Holland Avenue,,Albany,NY,12208,518-626-5000 x,518-626-6735 x,888-838-7890 x,518-626-5780 x,518-626-6710 x,518-626-6934 x,42.65140884,-73.77623285,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
