facility_id,service_level_1,service_level_2
VBA10,Vocational rehabilitation claim assistance,
VBA11,Vocational rehabilitation career assistance,
VBA11,Vocational rehabilitation claim assistance,
VBA12,Vocational rehabilitation career assistance,
VBA12,Vocational rehabilitation claim assistance,
VBA13,Vocational rehabilitation career assistance,
VBA13,Vocational rehabilitation claim assistance,
VBA14,Vocational rehabilitation career assistance,
VBA14,Vocational rehabilitation claim assistance,
VBA15,Vocational rehabilitation career assistance,
VBA15,Disability claim assistance,
VBA15,Vocational rehabilitation claim assistance,
VBA15,Updating contact information,
VBA15,eBenefits Logon assistance,
VBA15,Burial Claim assistance,
VBA15,Applying for benefits,
VBA16,Vocational rehabilitation career assistance,
VBA16,Vocational rehabilitation claim assistance,
VBA17,Applying for benefits,
VBA17,Vocational rehabilitation career assistance,
VBA17,Disability claim assistance,
VBA17,Vocational rehabilitation claim assistance,
VBA17,Survivor claim assistance,
VBA17,Updating contact information,
VBA17,Updating direct deposit information,
VBA17,Burial Claim assistance,
VBA17,eBenefits Logon assistance,
VBA17,Homeless assistance,
VBA18,Applying for benefits,
VBA18,Career counseling,
VBA18,School assistance,
VBA18,Vocational rehabilitation career assistance,
VBA18,Pre-discharge assistance,
VBA18,Vocational rehabilitation claim assistance,
VBA18,Updating contact information,
VBA18,Updating direct deposit information,
VBA18,eBenefits Logon assistance,
VBA18,Homeless assistance,
VBA19,Applying for benefits,
VBA19,Transition assistance,
VBA19,Pre-discharge assistance,
VBA20,Applying for benefits,
VBA20,Career counseling,
VBA20,Vocational rehabilitation career assistance,
VBA20,Disability claim assistance,
VBA20,Vocational rehabilitation claim assistance,
VBA20,Survivor claim assistance,
VBA20,Updating contact information,
VBA20,Updating direct deposit information,
VBA20,Burial Claim assistance,
VBA20,eBenefits Logon assistance,
VBA20,Homeless assistance,
VBA21,Transition assistance,
VBA21,Pre-discharge assistance,
VBA22,Applying for benefits,
VBA22,Career counseling,
VBA22,Disability claim assistance,
VBA22,Education claim assistance,
VBA22,Vocational rehabilitation claim assistance,
VBA22,Vocational rehabilitation career assistance,
VBA22,Transition assistance,
VBA22,School assistance,
VBA22,Pre-discharge assistance,
VBA22,Employment assistance,
VBA22,Financial counseling,
VBA22,Housing assistance,
VBA22,Insurance claim assistance,
VBA22,Survivor claim assistance,
VBA22,Updating contact information,
VBA22,Updating direct deposit information,
VBA22,Burial Claim assistance,
VBA22,eBenefits Logon assistance,
VBA22,Integrated Disability Evaluation System assistance,
VBA22,Homeless assistance,
VBA23,Applying for benefits,
VBA23,Career counseling,
VBA23,Vocational rehabilitation career assistance,
VBA23,Employment assistance,
VBA23,Disability claim assistance,
VBA23,Vocational rehabilitation claim assistance,
VBA23,Survivor claim assistance,
VBA23,Updating contact information,
VBA23,Updating direct deposit information,
VBA23,Burial Claim assistance,
VBA23,eBenefits Logon assistance,
VBA23,Homeless assistance,
VBA24,Other,Privacy Act Requests
VBA24,Other,Freedom of Imformation Act Requests
VBA25,Applying for benefits,
VBA25,School assistance,
VBA25,Vocational rehabilitation career assistance,
VBA25,Pre-discharge assistance,
VBA25,Disability claim assistance,
VBA25,Education claim assistance,
VBA25,Vocational rehabilitation claim assistance,
VBA25,Survivor claim assistance,
VBA25,Updating contact information,
VBA25,Updating direct deposit information,
VBA25,Burial Claim assistance,
VBA25,eBenefits Logon assistance,
VBA25,Integrated Disability Evaluation System assistance,
VBA25,Homeless assistance,
VBA26,Applying for benefits,
VBA26,Pre-discharge assistance,
VBA26,Disability claim assistance,
VBA26,Integrated Disability Evaluation System assistance,
VBA27,Applying for benefits,
VBA27,Pre-discharge assistance,
VBA27,Vocational rehabilitation career assistance,
VBA27,Integrated Disability Evaluation System assistance,
VBA27,Disability claim assistance,
VBA27,Vocational rehabilitation claim assistance,
VBA27,Updating contact information,
VBA27,Updating direct deposit information,
VBA27,Burial Claim assistance,
VBA28,Applying for benefits,
VBA28,Pre-discharge assistance,
VBA28,Disability claim assistance,
VBA28,Integrated Disability Evaluation System assistance,
VBA29,Applying for benefits,
VBA29,Vocational rehabilitation career assistance,
VBA29,Vocational rehabilitation claim assistance,
VBA29,Integrated Disability Evaluation System assistance,
VBA30,Applying for benefits,
VBA30,Vocational rehabilitation career assistance,
VBA30,Vocational rehabilitation claim assistance,
VBA31,Applying for benefits,
VBA31,Transition assistance,
VBA31,Pre-discharge assistance,
VBA31,Disability claim assistance,
VBA31,Survivor claim assistance,
VBA31,Updating contact information,
VBA31,Updating direct deposit information,
VBA31,Burial Claim assistance,
VBA31,eBenefits Logon assistance,
VBA31,Integrated Disability Evaluation System assistance,
VBA31,Career counseling,
VBA31,School assistance,
VBA31,Vocational rehabilitation career assistance,
VBA31,Employment assistance,
VBA31,Vocational rehabilitation claim assistance,
VBA32,Applying for benefits,
VBA32,Transition assistance,
VBA32,Pre-discharge assistance,
VBA32,Disability claim assistance,
VBA32,Survivor claim assistance,
VBA32,Updating contact information,
VBA32,Updating direct deposit information,
VBA32,Burial Claim assistance,
VBA32,eBenefits Logon assistance,
VBA32,Integrated Disability Evaluation System assistance,
VBA33,Applying for benefits,
VBA33,Career counseling,
VBA33,School assistance,
VBA33,Vocational rehabilitation career assistance,
VBA33,Transition assistance,
VBA33,Pre-discharge assistance,
VBA33,Employment assistance,
VBA33,Disability claim assistance,
VBA33,Vocational rehabilitation claim assistance,
VBA33,Survivor claim assistance,
VBA33,Updating contact information,
VBA33,Updating direct deposit information,
VBA33,Burial Claim assistance,
VBA33,eBenefits Logon assistance,
VBA33,Integrated Disability Evaluation System assistance,
VBA34,Applying for benefits,
VBA34,Career counseling,
VBA34,Vocational rehabilitation career assistance,
VBA34,Transition assistance,
VBA34,Pre-discharge assistance,
VBA34,Vocational rehabilitation claim assistance,
VBA34,Integrated Disability Evaluation System assistance,
VBA35,Applying for benefits,
VBA35,Career counseling,
VBA35,School assistance,
VBA35,Vocational rehabilitation career assistance,
VBA35,Transition assistance,
VBA35,Employment assistance,
VBA35,Pre-discharge assistance,
VBA35,Education claim assistance,
VBA35,Vocational rehabilitation claim assistance,
VBA35,Other,Vocational and Educational benefits counseling
VBA36,Vocational rehabilitation career assistance,
VBA36,Vocational rehabilitation claim assistance,
VBA37,Vocational rehabilitation career assistance,
VBA37,Vocational rehabilitation claim assistance,
VBA38,Career counseling,
VBA38,Vocational rehabilitation career assistance,
VBA38,Employment assistance,
VBA38,Vocational rehabilitation claim assistance,
VBA38,School assistance,
VBA39,Career counseling,
VBA39,Vocational rehabilitation career assistance,
VBA39,Employment assistance,
VBA39,Transition assistance,
VBA39,Vocational rehabilitation claim assistance,
VBA39,Integrated Disability Evaluation System assistance,
VBA40,Vocational rehabilitation career assistance,
VBA40,Vocational rehabilitation claim assistance,
VBA41,Applying for benefits,
VBA41,Career counseling,
VBA41,School assistance,
VBA41,Vocational rehabilitation career assistance,
VBA41,Transition assistance,
VBA41,Pre-discharge assistance,
VBA41,Employment assistance,
VBA41,Disability claim assistance,
VBA41,Education claim assistance,
VBA41,Insurance claim assistance,
VBA41,Vocational rehabilitation claim assistance,
VBA41,eBenefits Logon assistance,
VBA41,Homeless assistance,
VBA42,Applying for benefits,
VBA42,Career counseling,
VBA42,School assistance,
VBA42,Vocational rehabilitation career assistance,
VBA42,Transition assistance,
VBA42,Pre-discharge assistance,
VBA42,Employment assistance,
VBA42,Housing assistance,
VBA42,Disability claim assistance,
VBA42,Education claim assistance,
VBA42,Insurance claim assistance,
VBA42,Updating contact information,
VBA42,Survivor claim assistance,
VBA42,Vocational rehabilitation claim assistance,
VBA42,Updating direct deposit information,
VBA42,Burial Claim assistance,
VBA42,eBenefits Logon assistance,
VBA42,Integrated Disability Evaluation System assistance,
VBA42,Homeless assistance,
VBA43,Applying for benefits,
VBA43,Career counseling,
VBA43,School assistance,
VBA43,Vocational rehabilitation career assistance,
VBA43,Transition assistance,
VBA43,Pre-discharge assistance,
VBA43,Employment assistance,
VBA43,eBenefits Logon assistance,
VBA43,Integrated Disability Evaluation System assistance,
VBA43,Homeless assistance,
VBA43,Updating direct deposit information,
VBA43,Updating contact information,
VBA43,Vocational rehabilitation claim assistance,
VBA43,Education claim assistance,
VBA43,Disability claim assistance,
VBA43,Other,This is a VetSuccess On Campus (VSOC) location and provides all applicable services.
VBA44,Vocational rehabilitation claim assistance,
VBA44,Career counseling,
VBA44,Vocational rehabilitation career assistance,
VBA44,Employment assistance,
VBA45,Career counseling,
VBA45,Financial counseling,
VBA45,Vocational rehabilitation career assistance,
VBA45,Education claim assistance,
VBA45,Vocational rehabilitation claim assistance,
VBA45,School assistance,
VBA45,Disability claim assistance,
VBA45,Other,Outreach
VBA46,Vocational rehabilitation career assistance,
VBA46,School assistance,
VBA46,Career counseling,
VBA46,Financial counseling,
VBA46,Vocational rehabilitation claim assistance,
VBA46,Education claim assistance,
VBA46,Disability claim assistance,
VBA46,Other,Outreach
VBA47,Vocational rehabilitation career assistance,
VBA47,Employment assistance,
VBA48,Applying for benefits,
VBA48,Career counseling,
VBA48,Vocational rehabilitation career assistance,
VBA48,Employment assistance,
VBA48,Financial counseling,
VBA48,Housing assistance,
VBA48,Disability claim assistance,
VBA48,Education claim assistance,
VBA48,Vocational rehabilitation claim assistance,
VBA48,Survivor claim assistance,
VBA48,Updating contact information,
VBA48,Updating direct deposit information,
VBA48,Burial Claim assistance,
VBA48,eBenefits Logon assistance,
VBA48,Homeless assistance,
VBA49,Applying for benefits,
VBA49,Career counseling,
VBA49,School assistance,
VBA49,Vocational rehabilitation career assistance,
VBA49,Transition assistance,
VBA49,Pre-discharge assistance,
VBA49,Employment assistance,
VBA49,Education claim assistance,
VBA49,Vocational rehabilitation claim assistance,
VBA49,Updating contact information,
VBA49,Updating direct deposit information,
VBA49,eBenefits Logon assistance,
VBA49,Integrated Disability Evaluation System assistance,
VBA50,Applying for benefits,
VBA50,Disability claim assistance,
VBA50,Updating contact information,
VBA50,Updating direct deposit information,
VBA50,Education claim assistance,
VBA50,Vocational rehabilitation claim assistance,
VBA50,Homeless assistance,
VBA51,Career counseling,
VBA51,Applying for benefits,
VBA51,School assistance,
VBA51,Vocational rehabilitation career assistance,
VBA51,Vocational rehabilitation claim assistance,
VBA51,Updating contact information,
VBA51,Updating direct deposit information,
VBA52,Applying for benefits,
VBA52,Career counseling,
VBA52,School assistance,
VBA52,Vocational rehabilitation career assistance,
VBA52,Employment assistance,
VBA52,Disability claim assistance,
VBA52,Education claim assistance,
VBA52,Vocational rehabilitation claim assistance,
VBA52,Updating contact information,
VBA52,Updating direct deposit information,
VBA52,eBenefits Logon assistance,
VBA52,Homeless assistance,
VBA53,Applying for benefits,
VBA53,Career counseling,
VBA53,School assistance,
VBA53,Vocational rehabilitation career assistance,
VBA53,Employment assistance,
VBA53,Vocational rehabilitation claim assistance,
VBA53,Updating contact information,
VBA53,Homeless assistance,
VBA54,Applying for benefits,
VBA54,Career counseling,
VBA54,School assistance,
VBA54,Vocational rehabilitation career assistance,
VBA54,Transition assistance,
VBA54,Pre-discharge assistance,
VBA54,Employment assistance,
VBA54,Vocational rehabilitation claim assistance,
VBA54,Updating contact information,
VBA54,Updating direct deposit information,
VBA54,eBenefits Logon assistance,
VBA54,Integrated Disability Evaluation System assistance,
VBA55,Applying for benefits,
VBA55,Career counseling,
VBA55,School assistance,
VBA55,Vocational rehabilitation career assistance,
VBA55,Transition assistance,
VBA55,Pre-discharge assistance,
VBA55,Employment assistance,
VBA55,Education claim assistance,
VBA55,Vocational rehabilitation claim assistance,
VBA55,Updating contact information,
VBA55,Updating direct deposit information,
VBA55,eBenefits Logon assistance,
VBA55,Integrated Disability Evaluation System assistance,
VBA56,Applying for benefits,
VBA56,Transition assistance,
VBA56,Pre-discharge assistance,
VBA56,Disability claim assistance,
VBA56,Updating contact information,
VBA56,Updating direct deposit information,
VBA56,eBenefits Logon assistance,
VBA56,Integrated Disability Evaluation System assistance,
VBA57,Applying for benefits,
VBA57,School assistance,
VBA57,Career counseling,
VBA57,Transition assistance,
VBA57,Pre-discharge assistance,
VBA57,Disability claim assistance,
VBA57,Updating contact information,
VBA57,Updating direct deposit information,
VBA57,eBenefits Logon assistance,
VBA57,Integrated Disability Evaluation System assistance,
VBA58,Applying for benefits,
VBA58,Vocational rehabilitation career assistance,
VBA58,Employment assistance,
VBA58,Vocational rehabilitation claim assistance,
VBA58,Updating contact information,
VBA58,Updating direct deposit information,
VBA58,eBenefits Logon assistance,
VBA58,Disability claim assistance,
VBA58,Survivor claim assistance,
VBA58,Burial Claim assistance,
VBA59,Applying for benefits,
VBA59,Career counseling,
VBA59,School assistance,
VBA59,Vocational rehabilitation career assistance,
VBA59,Transition assistance,
VBA59,Pre-discharge assistance,
VBA59,Employment assistance,
VBA59,Disability claim assistance,
VBA59,Education claim assistance,
VBA59,Vocational rehabilitation claim assistance,
VBA59,Survivor claim assistance,
VBA59,Updating contact information,
VBA59,Updating direct deposit information,
VBA59,Burial Claim assistance,
VBA59,eBenefits Logon assistance,
VBA59,Integrated Disability Evaluation System assistance,
VBA59,Homeless assistance,
VBA59,Other,Outreach
VBA59,Other,Benefits Review
VBA59,Other,Compensation and Pension Claims Processing
VBA60,Career counseling,
VBA60,Vocational rehabilitation career assistance,
VBA60,Employment assistance,
VBA60,Vocational rehabilitation claim assistance,
VBA60,School assistance,
VBA61,Career counseling,
VBA61,School assistance,
VBA61,Vocational rehabilitation career assistance,
VBA61,Pre-discharge assistance,
VBA61,Integrated Disability Evaluation System assistance,
VBA61,Vocational rehabilitation claim assistance,
VBA61,Employment assistance,
VBA61,Transition assistance,
VBA62,Career counseling,
VBA62,School assistance,
VBA62,Vocational rehabilitation career assistance,
VBA62,Transition assistance,
VBA62,Pre-discharge assistance,
VBA62,Employment assistance,
VBA62,Vocational rehabilitation claim assistance,
VBA62,Integrated Disability Evaluation System assistance,
VBA63,Career counseling,
VBA63,School assistance,
VBA63,Vocational rehabilitation career assistance,
VBA63,Employment assistance,
VBA63,Vocational rehabilitation claim assistance,
VBA64,Vocational rehabilitation career assistance,
VBA64,Employment assistance,
VBA64,Vocational rehabilitation claim assistance,
VBA65,Applying for benefits,
VBA65,Vocational rehabilitation career assistance,
VBA65,Homeless assistance,
VBA65,Integrated Disability Evaluation System assistance,
VBA65,eBenefits Logon assistance,
VBA65,Vocational rehabilitation claim assistance,
VBA65,Disability claim assistance,
VBA65,Updating direct deposit information,
VBA65,Updating contact information,
VBA65,Survivor claim assistance,
VBA65,Burial Claim assistance,
VBA65,Career counseling,
VBA65,School assistance,
VBA65,Pre-discharge assistance,
VBA65,Education claim assistance,
VBA66,Applying for benefits,
VBA66,Pre-discharge assistance,
VBA66,Disability claim assistance,
VBA66,Survivor claim assistance,
VBA66,Updating contact information,
VBA66,Updating direct deposit information,
VBA66,Burial Claim assistance,
VBA66,eBenefits Logon assistance,
VBA66,Integrated Disability Evaluation System assistance,
VBA66,Homeless assistance,
VBA67,Applying for benefits,
VBA67,Pre-discharge assistance,
VBA67,Disability claim assistance,
VBA67,Survivor claim assistance,
VBA67,Updating contact information,
VBA67,Updating direct deposit information,
VBA67,eBenefits Logon assistance,
VBA67,Integrated Disability Evaluation System assistance,
VBA67,Homeless assistance,
VBA68,Applying for benefits,
VBA68,Pre-discharge assistance,
VBA68,Disability claim assistance,
VBA68,Survivor claim assistance,
VBA68,Updating contact information,
VBA68,Updating direct deposit information,
VBA68,Burial Claim assistance,
VBA68,eBenefits Logon assistance,
VBA68,Integrated Disability Evaluation System assistance,
VBA68,Homeless assistance,
VBA69,Applying for benefits,
VBA69,Pre-discharge assistance,
VBA69,Disability claim assistance,
VBA69,Survivor claim assistance,
VBA69,Updating contact information,
VBA69,Burial Claim assistance,
VBA69,Updating direct deposit information,
VBA69,eBenefits Logon assistance,
VBA69,Integrated Disability Evaluation System assistance,
VBA69,Homeless assistance,
VBA70,Applying for benefits,
VBA70,Pre-discharge assistance,
VBA70,Disability claim assistance,
VBA70,Survivor claim assistance,
VBA70,Updating contact information,
VBA70,Updating direct deposit information,
VBA70,Burial Claim assistance,
VBA70,eBenefits Logon assistance,
VBA70,Integrated Disability Evaluation System assistance,
VBA70,Homeless assistance,
VBA71,Career counseling,
VBA71,Vocational rehabilitation career assistance,
VBA71,Employment assistance,
VBA71,Vocational rehabilitation claim assistance,
VBA72,Career counseling,
VBA72,Vocational rehabilitation career assistance,
VBA72,Employment assistance,
VBA72,Vocational rehabilitation claim assistance,
VBA73,Career counseling,
VBA73,School assistance,
VBA73,Vocational rehabilitation career assistance,
VBA73,Employment assistance,
VBA73,Vocational rehabilitation claim assistance,
VBA73,Updating contact information,
VBA73,Updating direct deposit information,
VBA74,Vocational rehabilitation claim assistance,
VBA74,Vocational rehabilitation career assistance,
VBA75,Applying for benefits,
VBA75,Career counseling,
VBA75,Vocational rehabilitation career assistance,
VBA75,Homeless assistance,
VBA75,eBenefits Logon assistance,
VBA75,Updating direct deposit information,
VBA75,Updating contact information,
VBA75,Vocational rehabilitation claim assistance,
VBA75,Disability claim assistance,
VBA75,Employment assistance,
VBA75,Survivor claim assistance,
VBA75,Burial Claim assistance,
VBA75,School assistance,
VBA76,Applying for benefits,
VBA76,Career counseling,
VBA76,School assistance,
VBA76,Vocational rehabilitation career assistance,
VBA76,Transition assistance,
VBA76,Pre-discharge assistance,
VBA76,Employment assistance,
VBA76,Education claim assistance,
VBA76,Vocational rehabilitation claim assistance,
VBA76,Updating contact information,
VBA76,Updating direct deposit information,
VBA76,eBenefits Logon assistance,
VBA76,Integrated Disability Evaluation System assistance,
VBA77,Applying for benefits,
VBA77,Disability claim assistance,
VBA77,Updating contact information,
VBA77,Updating direct deposit information,
VBA77,eBenefits Logon assistance,
VBA78,Applying for benefits,
VBA78,Disability claim assistance,
VBA78,eBenefits Logon assistance,
VBA78,Updating direct deposit information,
VBA78,Updating contact information,
VBA79,Applying for benefits,
VBA79,Disability claim assistance,
VBA79,Updating contact information,
VBA79,Updating direct deposit information,
VBA79,eBenefits Logon assistance,
VBA80,Applying for benefits,
VBA80,Career counseling,
VBA80,Vocational rehabilitation career assistance,
VBA80,Transition assistance,
VBA80,Employment assistance,
VBA80,Disability claim assistance,
VBA80,Vocational rehabilitation claim assistance,
VBA80,Updating contact information,
VBA80,Updating direct deposit information,
VBA80,eBenefits Logon assistance,
VBA80,Survivor claim assistance,
VBA80,Homeless assistance,
VBA80,Other,Pension Claim Assistance
VBA80,Other,In-Service Death Claims
VBA81,Applying for benefits,
VBA81,Career counseling,
VBA81,Vocational rehabilitation career assistance,
VBA81,Employment assistance,
VBA81,Disability claim assistance,
VBA81,Vocational rehabilitation claim assistance,
VBA81,Updating contact information,
VBA81,Updating direct deposit information,
VBA81,eBenefits Logon assistance,
VBA81,Homeless assistance,
VBA82,Career counseling,
VBA82,School assistance,
VBA82,Vocational rehabilitation career assistance,
VBA82,Employment assistance,
VBA82,Vocational rehabilitation claim assistance,
VBA83,Applying for benefits,
VBA83,Disability claim assistance,
VBA83,Education claim assistance,
VBA83,Insurance claim assistance,
VBA83,Vocational rehabilitation claim assistance,
VBA83,Survivor claim assistance,
VBA83,Updating contact information,
VBA83,Updating direct deposit information,
VBA83,Burial Claim assistance,
VBA83,eBenefits Logon assistance,
VBA83,Homeless assistance,
VBA83,Other,LGY claims assistance
VBA83,Other,Produce Veteran letters (Civil Service Pref ltr
VBA83,Other,FL 333
VBA83,Other,etc.)
VBA84,Applying for benefits,
VBA84,Vocational rehabilitation career assistance,
VBA84,Disability claim assistance,
VBA84,Vocational rehabilitation claim assistance,
VBA84,Survivor claim assistance,
VBA84,Updating contact information,
VBA84,Updating direct deposit information,
VBA84,Burial Claim assistance,
VBA85,Applying for benefits,
VBA85,Vocational rehabilitation career assistance,
VBA85,Career counseling,
VBA85,Transition assistance,
VBA85,Pre-discharge assistance,
VBA85,Employment assistance,
VBA85,Disability claim assistance,
VBA85,Vocational rehabilitation claim assistance,
VBA85,Survivor claim assistance,
VBA85,Updating contact information,
VBA85,Updating direct deposit information,
VBA85,eBenefits Logon assistance,
VBA85,Other,This site also houses eight IDES VR&E Counselors and three VSO offices (TDVS
VBA85,Other,DAV and VFW).  Additionally
VBA85,Other,a BDD Military Service Coordinator completes any needed survivor claims assistance as the Casualty Assistance Coordinator from this site.
VBA86,Applying for benefits,
VBA86,Transition assistance,
VBA86,Disability claim assistance,
VBA86,Updating contact information,
VBA86,Updating direct deposit information,
VBA86,eBenefits Logon assistance,
VBA86,Integrated Disability Evaluation System assistance,
VBA86,Other,Department of Defense IDES representatives and Veterans Health Administration exam providers are also co-located at this facility.
VBA87,eBenefits Logon assistance,
VBA87,Pre-discharge assistance,
VBA87,Applying for benefits,
VBA87,Disability claim assistance,
VBA87,Updating contact information,
VBA87,Updating direct deposit information,
VBA87,Homeless assistance,
VBA87,Other,Outreach
VBA88,Applying for benefits,
VBA88,Homeless assistance,
VBA88,Integrated Disability Evaluation System assistance,
VBA88,eBenefits Logon assistance,
VBA88,Updating direct deposit information,
VBA88,Updating contact information,
VBA88,Disability claim assistance,
VBA88,Other,Outreach
VBA89,Homeless assistance,
VBA89,eBenefits Logon assistance,
VBA89,Burial Claim assistance,
VBA89,Updating direct deposit information,
VBA89,Updating contact information,
VBA89,Survivor claim assistance,
VBA89,Disability claim assistance,
VBA89,Applying for benefits,
VBA89,Other,Outreach
VBA90,Applying for benefits,
VBA90,Homeless assistance,
VBA90,eBenefits Logon assistance,
VBA90,Burial Claim assistance,
VBA90,Updating direct deposit information,
VBA90,Updating contact information,
VBA90,Survivor claim assistance,
VBA90,Disability claim assistance,
VBA90,Pre-discharge assistance,
VBA90,Other,Outreach
VBA91,Applying for benefits,
VBA91,Career counseling,
VBA91,School assistance,
VBA91,Vocational rehabilitation career assistance,
VBA91,Transition assistance,
VBA91,Other,Education Counseling
VBA91,Other,Outreach
VBA92,Applying for benefits,
VBA92,Career counseling,
VBA92,School assistance,
VBA92,Vocational rehabilitation career assistance,
VBA92,Transition assistance,
VBA92,Other,Education Counseling
VBA92,Other,Outreach
VBA93,Applying for benefits,
VBA93,Career counseling,
VBA93,Vocational rehabilitation career assistance,
VBA93,Vocational rehabilitation claim assistance,
VBA93,School assistance,
VBA93,Employment assistance,
VBA93,Updating contact information,
VBA93,Updating direct deposit information,
VBA93,Integrated Disability Evaluation System assistance,
VBA94,Applying for benefits,
VBA94,Career counseling,
VBA94,School assistance,
VBA94,Vocational rehabilitation career assistance,
VBA94,Transition assistance,
VBA94,Employment assistance,
VBA94,Vocational rehabilitation claim assistance,
VBA94,Updating contact information,
VBA94,Updating direct deposit information,
VBA94,Integrated Disability Evaluation System assistance,
VBA95,Applying for benefits,
VBA95,Career counseling,
VBA95,School assistance,
VBA95,Vocational rehabilitation career assistance,
VBA95,Employment assistance,
VBA95,Vocational rehabilitation claim assistance,
VBA95,Updating contact information,
VBA95,Updating direct deposit information,
VBA96,Applying for benefits,
VBA96,Career counseling,
VBA96,School assistance,
VBA96,Vocational rehabilitation career assistance,
VBA96,Employment assistance,
VBA96,Vocational rehabilitation claim assistance,
VBA96,Updating contact information,
VBA96,Updating direct deposit information,
VBA97,Applying for benefits,
VBA97,Career counseling,
VBA97,School assistance,
VBA97,Vocational rehabilitation career assistance,
VBA97,Employment assistance,
VBA97,Vocational rehabilitation claim assistance,
VBA97,Updating contact information,
VBA97,Updating direct deposit information,
VBA97,Other,Outreach
VBA98,Applying for benefits,
VBA98,Career counseling,
VBA98,School assistance,
VBA98,Vocational rehabilitation career assistance,
VBA98,Transition assistance,
VBA98,Financial counseling,
VBA98,Education claim assistance,
VBA98,Vocational rehabilitation claim assistance,
VBA98,Updating contact information,
VBA98,Updating direct deposit information,
VBA98,eBenefits Logon assistance,
VBA98,Integrated Disability Evaluation System assistance,
VBA98,Employment assistance,
VBA98,Other,Education Counseling
VBA98,Other,Vocational Assessment & Testing
VBA99,Pre-discharge assistance,
VBA99,Integrated Disability Evaluation System assistance,
VBA100,Applying for benefits,
VBA100,School assistance,
VBA100,Vocational rehabilitation career assistance,
VBA100,Pre-discharge assistance,
VBA100,Disability claim assistance,
VBA100,Education claim assistance,
VBA100,Vocational rehabilitation claim assistance,
VBA100,Survivor claim assistance,
VBA100,Updating contact information,
VBA100,Updating direct deposit information,
VBA100,Burial Claim assistance,
VBA100,eBenefits Logon assistance,
VBA100,Integrated Disability Evaluation System assistance,
VBA100,Career counseling,
VBA101,Applying for benefits,
VBA101,Disability claim assistance,
VBA101,Survivor claim assistance,
VBA101,Updating contact information,
VBA101,Homeless assistance,
VBA101,eBenefits Logon assistance,
VBA101,Burial Claim assistance,
VBA101,Updating direct deposit information,
VBA101,Insurance claim assistance,
VBA102,Applying for benefits,
VBA102,Disability claim assistance,
VBA102,Insurance claim assistance,
VBA102,Survivor claim assistance,
VBA102,Updating contact information,
VBA102,Updating direct deposit information,
VBA102,Burial Claim assistance,
VBA102,eBenefits Logon assistance,
